,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Route Type,Road Name,Cross-Street Name,Off-Road Description,Municipality,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,Person ID,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Drivers License State,Vehicle ID,Vehicle Damage Extent,Vehicle First Impact Location,Vehicle Body Type,Vehicle Movement,Vehicle Going Dir,Speed Limit,Driverless Vehicle,Parked Vehicle,Vehicle Year,Vehicle Make,Vehicle Model,Latitude,Longitude,Location,temperature,apparent_temperature,humidity,weather_code,precipitation,snowfall,wind_speed,wind_direction,soil_temperature,soil_moisture,sunrise,sunset,day_or_night_code
736,736,736,736,MCP2767006F,190026301,Montgomery County Police,Injury Crash,06/02/2019 02:51:00 PM,Maryland (State),UNIVERSITY BLVD W,KERWIN RD,,,,HEAD ON,CLEAR,DRY,DAYLIGHT,OTHER,NONE DETECTED,,1F7D9EF2-A0A0-4048-B805-38CB5591D906,No,SUSPECTED MINOR INJURY,,NOT DISTRACTED,MD,0F0422C4-42F4-4CA9-8ED9-BF76DA4FAA3D,DISABLING,TWELVE OCLOCK,VAN,STOPPED IN TRAFFIC LANE,West,35,No,No,2000,FORD,E350,39.02775051,-77.02036062,"(39.02775051, -77.02036062)",28.88949966430664,26.730989456176758,34.63338088989258,3.0,0.0,0.0,19.803272247314453,271.0415954589844,26.339500427246094,0.31700000166893005,04:43:00,19:28:00,1
737,737,737,737,MCP3243000F,200033095,Montgomery County Police,Property Damage Crash,08/24/2020 05:46:00 PM,Maryland (State),WISCONSIN AVE,MONTGOMERY AVE,,,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,C35C34D8-311D-4545-9883-FA7BDE24515C,Yes,NO APPARENT INJURY,,DISTRACTED BY OUTSIDE PERSON OBJECT OR EVENT,VA,486A7703-BD80-482C-9125-23BA084BD649,SUPERFICIAL,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,SLOWING OR STOPPING,South,35,No,No,2019,TOYOTA,RAV-4,38.9652157,-77.08792896,"(38.9652157, -77.08792896)",25.37649917602539,29.949310302734375,86.32882690429688,0.0,0.0,0.0,6.0346999168396,197.35411071777344,26.276498794555664,0.503000020980835,05:30:00,18:50:00,0
738,738,738,738,MCP32840024,240017285,MONTGOMERY,Property Damage Crash,04/14/2024 04:47:00 AM,County Route,MCKNEW RD,SANDY SPRING RD (WB/L),,,,Rear To Side,Clear,Dry,Dark - Lighted,Flashing Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,F7E84042-56EB-476D-99BC-6CCEC16E1BEE,No,No Apparent Injury,,Unknown,MD,5B12BFA8-9704-448E-B7D3-056229DA67FA,Disabling,Twelve O Clock,Passenger Car,Moving Constant Speed,,50,No,No,2000,BMW,UNKNOWN,39.10634167,-76.91869067,"(39.10634167, -76.91869067)",7.635499954223633,4.137235641479492,66.0034408569336,0.0,0.0,0.0,11.304228782653809,260.8377380371094,9.43549919128418,0.45899999141693115,05:31:00,18:44:00,1
739,739,739,739,MCP2305001P,190035707,Montgomery County Police,Property Damage Crash,07/27/2019 02:32:00 AM,County,HAWKINS CREAMERY RD,JOHNSON FARM RD,,,,SINGLE VEHICLE,CLEAR,DRY,DARK NO LIGHTS,,NONE DETECTED,,3AA8E447-5C4B-4AE0-BF06-53B4D86C9B4E,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,71EE5CA6-49D1-41C7-BE38-1652A2D49A89,DISABLING,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,East,35,No,No,2015,TOYT,TK,39.26929,-77.18577667,"(39.26929, -77.18577667)",19.97599983215332,21.288740158081055,79.2645492553711,0.0,0.0,0.0,5.9044389724731445,217.56866455078125,20.47599983215332,0.3540000021457672,05:04:00,19:26:00,1
740,740,740,740,MCP1221002Q,16056643,Montgomery County Police,Injury Crash,11/03/2016 08:44:00 AM,Interstate (State),EISENHOWER MEMORIAL HWY,GAME PRESERVE RD,,,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,A0AED1FB-235E-44A0-8A50-9E6CF3F68C89,Yes,NO APPARENT INJURY,,UNKNOWN,MD,8F5E9E28-DAA2-4E82-8DE1-B961A30DB769,SUPERFICIAL,TWELVE OCLOCK,VAN,SLOWING OR STOPPING,South,55,No,No,2006,FORD,TK,39.16028333,-77.23195667,"(39.16028333, -77.23195667)",17.883499145507812,17.649492263793945,75.70415496826172,2.0,0.0,0.0,9.387651443481445,237.52882385253906,15.833499908447266,0.41600000858306885,06:39:00,17:05:00,0
741,741,741,741,MCP9390000X,170525598,Montgomery County Police,Property Damage Crash,08/18/2017 07:27:00 PM,Maryland (State),KEY WEST AVE,BROSCHART RD,,,,SAME DIR REAR END,RAINING,WET,DAYLIGHT,TRAFFIC SIGNAL,,,D25FD76E-A2E6-488B-BF5F-6D717BF293A9,Yes,NO APPARENT INJURY,"N/A, WET",UNKNOWN,MD,2D42BBA3-5361-446C-9F9B-BCD8686283EE,DISABLING,TWELVE OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,East,40,No,No,2011,HYUN,SONATA,39.10483833,-77.20183667,"(39.10483833, -77.20183667)",25.009000778198242,30.843215942382812,94.75863647460938,1.0,0.0,0.0,2.3051247596740723,218.6598358154297,25.35900115966797,0.5070000290870667,05:24:00,18:59:00,0
742,742,742,742,DM8489000M,200040456,Takoma Park Police Depart,Injury Crash,10/14/2020 10:14:00 AM,Maryland (State),NEW HAMPSHIRE AVE,KINGWOOD DR,,TAKOMA PARK,,OTHER,CLEAR,DRY,DAYLIGHT,,,,FD79A1BF-4B30-488E-A406-150CCB413D9F,No,POSSIBLE INJURY,,NOT DISTRACTED,MD,1079434F-66BB-4E3D-9B19-E34288825326,FUNCTIONAL,SIX OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,30,No,No,2012,SUBARU,LEGACY,38.98530067,-76.9883635,"(38.98530067, -76.9883635)",17.81100082397461,15.910316467285156,56.17449951171875,0.0,0.0,0.0,11.165804862976074,249.2276611328125,15.16100025177002,0.4449999928474426,06:17:00,17:30:00,0
743,743,743,743,MCP2498000H,15049856,MONTGOMERY,Injury Crash,10/01/2015 09:48:00 PM,County,FATHER HURLEY BLVD,WATERS LANDING DR,,,,OTHER,CLOUDY,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,7D6BBE40-8E4E-4709-92B5-CEB91559330C,No,SUSPECTED MINOR INJURY,,UNKNOWN,MD,87DA4BE1-3112-4A9C-ADF2-7D21C4600EF5,DISABLING,TWELVE OCLOCK,PASSENGER CAR,ACCELERATING,West,30,No,No,2007,TOYOTA,COROLLA,39.19165167,-77.27201667,"(39.19165167, -77.27201667)",12.947999954223633,11.182663917541504,88.23833465576172,51.0,0.20000000298023224,0.0,14.332340240478516,25.277687072753906,14.748000144958496,0.45500001311302185,06:04:00,17:52:00,0
744,744,744,744,MCP3169000V,190021182,Montgomery County Police,Injury Crash,05/05/2019 04:49:00 PM,Maryland (State),UNIVERSITY BLVD E,LEXINGTON DR,,,,ANGLE MEETS LEFT TURN,RAINING,WET,DAYLIGHT,TRAFFIC SIGNAL,,,CDE706F6-11F1-474D-A2F9-2C7EBD349B0E,Unknown,NO APPARENT INJURY,"N/A, WET",UNKNOWN,MD,774719BF-B2CF-4E62-A254-A0E28D95A412,FUNCTIONAL,TEN OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,35,No,No,2013,HONDA,ODYSSEY,39.01913833,-77.01075667,"(39.01913833, -77.01075667)",15.035000801086426,14.854860305786133,99.67887115478516,63.0,7.199999809265137,0.0,12.661563873291016,14.82652759552002,16.73499870300293,0.5199999809265137,05:05:00,19:04:00,1
745,745,745,745,MCP3402002H,240055235,MONTGOMERY,Property Damage Crash,11/18/2024 07:59:00 AM,Maryland (State) Route,UNIVERSITY BLVD E,INDIAN SPRING DR,,,,"Sideswipe, Same Direction",Clear,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,DFB3E31A-CF01-4266-8013-EBAFCA3E6A45,No,No Apparent Injury,,Not Distracted,MD,ED012C64-D034-4F4C-A938-28018C5BDB82,Functional,Eleven O Clock,Passenger Car,Entering Traffic Lane,Eastbound,40,No,No,2022,HONDA,CIVIC,39.01338896,-77.00362289,"(39.01338896, -77.00362289)",8.655000686645508,5.485866546630859,73.10138702392578,3.0,0.0,0.0,12.124306678771973,288.1660461425781,5.25499963760376,0.28999999165534973,06:55:00,16:51:00,0
746,746,746,746,MCP26390084,190047171,Montgomery County Police,Injury Crash,10/02/2019 06:39:00 AM,Maryland (State),NEW HAMPSHIRE AVE,BRIGHTON DAM RD,,,,SAME DIR REAR END,CLOUDY,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,,1D71D0D4-87F8-4278-BDC3-CC5A286AAD79,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,646CECF6-122E-4011-B10D-4395E922B132,SUPERFICIAL,SIX OCLOCK,(SPORT) UTILITY VEHICLE,STOPPED IN TRAFFIC LANE,South,40,No,No,2012,HONDA,CRV,39.19352109,-77.0263324,"(39.19352109, -77.0263324)",22.645999908447266,24.599576950073242,80.88742065429688,2.0,0.0,0.0,10.390226364135742,255.96372985839844,21.395999908447266,0.32899999618530273,06:04:00,17:49:00,0
747,747,747,747,MCP28500019,190006505,Montgomery County Police,Property Damage Crash,02/10/2019 01:42:00 AM,County,MONTGOMERY VILLAGE AVE,MIDCOUNTY HWY,,,,OPPOSITE DIRECTION SIDESWIPE,CLEAR,DRY,DARK LIGHTS ON,FLASHING TRAFFIC SIGNAL,,,F6DD6D2E-3F94-47E4-8317-1DBB751425D0,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,04A7183B-F871-456B-B09F-D8E1D6A6787F,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,South,35,No,No,2009,LINC,4S,39.160105,-77.20195167,"(39.160105, -77.20195167)",-5.420000076293945,-9.554791450500488,57.85829544067383,1.0,0.0,0.0,4.843304634094238,318.01287841796875,0.22999998927116394,0.4519999921321869,07:06:00,17:39:00,1
748,748,748,748,MCP22540006,15023432,Montgomery County Police,Property Damage Crash,05/16/2015 09:54:00 AM,County,CLARKSBURG RD,SNOWDEN FARM PKWY,,,,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,F28A7BC2-07B1-47C6-BDD8-0C9CF4E4C0E3,Yes,NO APPARENT INJURY,"ANIMAL, N/A",DISTRACTED BY OUTSIDE PERSON OBJECT OR EVENT,MD,3B79BDAD-8954-407A-A169-F8BE8A8B86AB,DISABLING,ONE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,35,No,No,2004,NISSAN,ALTIMA,39.25597333,-77.27537667,"(39.25597333, -77.27537667)",25.783498764038086,27.982810974121094,54.2017822265625,3.0,0.0,0.0,5.692099571228027,251.56495666503906,21.683500289916992,0.2669999897480011,04:54:00,19:16:00,0
749,749,749,749,MCP2216000F,16003253,Montgomery County Police,Property Damage Crash,01/18/2016 03:18:00 AM,County,SHADY GROVE RD,MIDCOUNTY HWY,,,,STRAIGHT MOVEMENT ANGLE,SEVERE WINDS,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,,,C1A1EB83-5CCB-405E-A0F4-F3A7817F0CB9,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,6CC7E8A5-96A3-4985-A4BE-8EF0E545E125,FUNCTIONAL,FOUR OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,45,No,No,2007,TOYT,COROLLA,39.14108833,-77.15191333,"(39.14108833, -77.15191333)",-3.319000005722046,-10.150505065917969,38.35971450805664,1.0,0.0,0.0,22.077716827392578,294.0573425292969,0.08100000023841858,0.4779999852180481,07:25:00,17:12:00,1
750,750,750,750,MCP3042002G,190018499,Montgomery County Police,Property Damage Crash,04/20/2019 12:15:00 PM,,,,11160 VEIRS MILL RD SILVER SPRING MD (RING RD),,,SINGLE VEHICLE,CLEAR,,DAYLIGHT,NO CONTROLS,NONE DETECTED,,EC31A8D3-1457-464A-ADBC-677C05EAA81B,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,37F7DA86-56F0-4B5A-A75E-A663F2C3174D,FUNCTIONAL,TWELVE OCLOCK,PASSENGER CAR,CHANGING LANES,North,15,No,No,2010,HYUN,4S,39.03678667,-77.05216333,"(39.03678667, -77.05216333)",20.152999877929688,18.215646743774414,51.19248580932617,2.0,0.0,0.0,21.959999084472656,190.38880920410156,18.55299949645996,0.49900001287460327,05:24:00,18:49:00,0
751,751,751,751,MCP2246001X,180002955,Montgomery County Police,Property Damage Crash,01/18/2018 06:37:00 PM,Maryland (State),16TH ST,EAST WEST HWY,,,,HEAD ON LEFT TURN,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,B05D417A-013D-43E7-953D-2583C090E20C,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,24C28E03-33F6-4174-B38F-C2A6C085D4C2,DISABLING,ELEVEN OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,35,No,No,2013,NISS,ALTIMA,38.99454,-77.03647667,"(38.99454, -77.03647667)",1.3939999341964722,-4.419425964355469,33.3863525390625,0.0,0.0,0.0,16.099689483642578,296.5649719238281,1.843999981880188,0.46700000762939453,07:24:00,17:13:00,1
752,752,752,752,MCP1342000M,15043391,MONTGOMERY,Injury Crash,08/29/2015 09:46:00 AM,Maryland (State),DARNESTOWN RD,BERRYVILLE RD,,,,HEAD ON,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,22D0D2AB-4745-475E-AC01-2E3474E69054,Yes,SUSPECTED SERIOUS INJURY,,NOT DISTRACTED,MD,1241D2C9-B94B-4435-9500-F88BE91E7644,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,50,No,No,2004,NISSAN,4 DR,39.11375,-77.30853833,"(39.11375, -77.30853833)",26.204500198364258,26.458045959472656,50.130958557128906,1.0,0.0,0.0,9.6932954788208,195.06854248046875,24.60449981689453,0.3100000023841858,05:35:00,18:45:00,0
753,753,753,753,MCP1151009G,190013873,Montgomery County Police,Injury Crash,03/26/2019 07:28:00 AM,County,HAWKINS CREAMERY RD,LAYTONSVILLE RD,,,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,,NONE DETECTED,,D22BAD7C-8224-4351-87AE-9CC7E0644783,No,POSSIBLE INJURY,"N/A, VISION OBSTRUCTION (INCL. BLINDED BY SUN)",NOT DISTRACTED,MD,19657DEB-3BDD-4EAC-B14E-EFAA345FDB0F,SUPERFICIAL,SIX OCLOCK,(SPORT) UTILITY VEHICLE,STOPPED IN TRAFFIC LANE,East,30,No,No,2009,NISS,MURANO,39.246337,-77.14458067,"(39.246337, -77.14458067)",-0.5954999923706055,-5.676611423492432,49.616905212402344,0.0,0.0,0.0,12.620553970336914,356.7295837402344,5.3545002937316895,0.4729999899864197,06:02:00,18:25:00,0
754,754,754,754,MCP2087000H,16059012,Montgomery County Police,Property Damage Crash,11/16/2016 12:47:00 PM,Maryland (State),UNIVERSITY BLVD W,SLIGO CREEK PKWY,,,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,EE4FAA80-B678-4B8E-8FE1-643B2F036D26,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,393C4137-04C5-41CA-BA1E-C37C0DD1299B,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,40,No,No,2017,TOYOTA,COROLLA,39.03675,-77.030585,"(39.03675, -77.030585)",15.465999603271484,11.992244720458984,43.23847579956055,1.0,0.0,0.0,12.768586158752441,248.49850463867188,12.866000175476074,0.4099999964237213,06:53:00,16:53:00,0
755,755,755,755,MCP2116008W,180059065,Montgomery County Police,Property Damage Crash,11/26/2018 10:19:00 AM,County,DARNESTOWN RD,SHADY GROVE RD,,,,STRAIGHT MOVEMENT ANGLE,RAINING,WET,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,D6B8A007-5501-4822-96DE-1F0163313578,No,NO APPARENT INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,DC,66F10E23-6D00-4AE2-AA21-30227D6A7DDB,DISABLING,ELEVEN OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,40,No,No,2011,BMW,SD,39.09347167,-77.19736667,"(39.09347167, -77.19736667)",7.965500354766846,5.443873405456543,98.9847412109375,55.0,1.100000023841858,0.0,13.392773628234863,143.74607849121094,7.465500354766846,0.4970000088214874,07:03:00,16:47:00,0
756,756,756,756,MCP2881003S,210031461,Montgomery County Police,Property Damage Crash,08/13/2021 11:30:00 AM,County,MIDDLEBROOK RD,FREDERICK RD,,,,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,,,,565E344D-7035-462D-8403-A85BEFC3A703,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,5399D478-DB8E-4D7E-A779-BDDA7EA911E5,FUNCTIONAL,EIGHT OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,South,10,No,No,1995,NISS,CP,39.18018833,-77.23879167,"(39.18018833, -77.23879167)",32.7234992980957,36.86603546142578,52.28713607788086,2.0,0.0,0.0,5.447788238525391,277.59454345703125,30.173500061035156,0.34299999475479126,05:20:00,19:06:00,0
757,757,757,757,MCP3388000P,240008563,MONTGOMERY,Property Damage Crash,02/21/2024 06:30:00 PM,US (State),GEORGIA AVE,,,,,Other,Clear,Dry,Dark - Lighted,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,56366200-F82D-4A67-98FB-68275A9E7CFA,No,No Apparent Injury,,Not Distracted,MD,BC353375-AB42-4C3C-88E8-EF58EB764416,Superficial,One O Clock,Passenger Car,Slowing or Stopping,Northbound,30,No,No,2017,HONDA,CIVIC,38.99432115,-77.02678907,"(38.99432115, -77.02678907)",1.8005000352859497,-2.0333094596862793,63.953086853027344,0.0,0.0,0.0,7.754636764526367,111.80147552490234,4.450500011444092,0.44699999690055847,06:52:00,17:51:00,1
758,758,758,758,MCP2298008D,16019265,Montgomery County Police,Injury Crash,04/19/2016 06:04:00 PM,Maryland (State),RIDGE RD,DAMASCUS VFD,,,,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,,NONE DETECTED,,8ADE906C-1B6C-4B69-BC8E-B79B682C98FC,Unknown,NO APPARENT INJURY,,NOT DISTRACTED,MD,5C08B621-2F6C-4EB8-82B2-420C639176C5,,NON-COLLISION,MOTORCYCLE,ACCELERATING,South,30,No,No,2007,SUZI,MC,39.28895,-77.20472,"(39.28895, -77.20472)",18.844999313354492,15.991056442260742,43.74716567993164,2.0,0.0,0.0,13.089353561401367,31.504222869873047,18.145000457763672,0.3869999945163727,05:25:00,18:50:00,0
759,759,759,759,MCP2960003W,190011619,Montgomery County Police,Injury Crash,03/13/2019 12:20:00 PM,County,CONNECTICUT AVE,BEL PRE RD,,,,SAME DIR REAR END,,DRY,DAYLIGHT,TRAFFIC SIGNAL,,,F1227355-3D6D-4E6A-A05D-8DD4720748A7,Yes,NO APPARENT INJURY,,UNKNOWN,MD,4A907C41-4A72-41A4-85BF-A9E8FC339EAE,SUPERFICIAL,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,40,No,No,2012,TOYT,4S,39.09206833,-77.07013,"(39.09206833, -77.07013)",10.067500114440918,6.811979293823242,39.40898132324219,3.0,0.0,0.0,12.324414253234863,173.29025268554688,0.4675000011920929,0.4659999907016754,06:22:00,18:12:00,0
760,760,760,760,MCP31740009,190013982,Montgomery County Police,Property Damage Crash,03/26/2019 04:15:00 PM,,,,BACK LOT OF 45A W. WATKINS MILL ROAD,,,OTHER,CLEAR,,DAYLIGHT,,NONE DETECTED,,CA194667-DE54-44E2-98EF-73F89E6F7BC2,Yes,NO APPARENT INJURY,,UNKNOWN,MD,0116C278-A7BB-4CC6-8F4B-AF36493D9201,SUPERFICIAL,SIX OCLOCK,POLICE VEHICLE/NON EMERGENCY,BACKING,South,5,No,No,2019,DODGE,CHARGER,39.14974167,-77.23374167,"(39.14974167, -77.23374167)",8.4375,2.953341007232666,26.78995704650879,0.0,0.0,0.0,15.51762866973877,3.9908432960510254,10.53749942779541,0.460999995470047,06:03:00,18:26:00,1
761,761,761,761,MCP20720080,240043590,MONTGOMERY,Property Damage Crash,09/13/2024 02:08:00 PM,County Route,BRINK RD,,,,,Front to Rear,Clear,Dry,Daylight,"Person (including flagger, law enforcement, crossing guard, etc.","Not Suspect of Alcohol Use, Not Suspect of Drug Use",,C39B9E53-511A-45FB-B03B-343DC01194B1,Yes,No Apparent Injury,Too Fast For Conditions,Not Distracted,MD,0B264427-B559-4075-84AF-4DFD0154F4E7,Disabling,Twelve O Clock,Passenger Car,Moving Constant Speed,Southbound,35,No,No,1997,TOYOTA,4-RUNNER,39.20941,-77.1637,"(39.20941, -77.1637)",24.752500534057617,25.72675323486328,59.76091766357422,3.0,0.0,0.0,8.55710220336914,112.24907684326172,22.252500534057617,0.3019999861717224,05:48:00,18:19:00,1
762,762,762,762,MCP3086007X,220056160,Montgomery County Police,Property Damage Crash,12/19/2022 07:50:00 AM,County,REDLAND RD,OVERHILL RD,,,,ANGLE MEETS LEFT TURN,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,AA9782B8-217A-484E-867E-6C39EF9FACCC,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,CC8380C3-D686-4D32-8503-8B220B9A62EE,DESTROYED,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,35,No,No,2000,HOND,ACCORD,39.13440167,-77.14647333,"(39.13440167, -77.14647333)",-2.7130000591278076,-7.250156402587891,71.44353485107422,0.0,0.0,0.0,10.495713233947754,275.9060363769531,1.1369999647140503,0.4569999873638153,07:23:00,16:48:00,0
763,763,763,763,MCP31540011,190024000,Montgomery County Police,Injury Crash,05/21/2019 07:12:00 AM,,,,"CHIK-FIL-A PARKING LOT - 19945 CENTURY BLVD GERMANTOWN, MD 20874",,,STRAIGHT MOVEMENT ANGLE,CLEAR,,DAYLIGHT,NO CONTROLS,NONE DETECTED,,CFA913E3-0737-4587-8A01-12ED008F5096,No,POSSIBLE INJURY,,NOT DISTRACTED,MD,32569353-C7E6-495F-9203-06169110A1A7,DISABLING,ELEVEN OCLOCK,STATION WAGON,MOVING CONSTANT SPEED,East,15,No,No,2016,NISS,SW,39.18225167,-77.26186333,"(39.18225167, -77.26186333)",14.087000846862793,11.014930725097656,62.09513473510742,1.0,0.0,0.0,15.696165084838867,323.392822265625,18.98699951171875,0.4350000023841858,04:50:00,19:20:00,0
764,764,764,764,DD5620001T,170549218,Rockville Police Departme,Property Damage Crash,12/18/2017 08:00:00 AM,County,TWINBROOK PKWY,ARDENNES AVE,,,,OTHER,CLEAR,DRY,DAYLIGHT,NO CONTROLS,UNKNOWN,,2DFB3B66-446C-4B97-8009-4FCC6D241A97,Yes,NO APPARENT INJURY,,UNKNOWN,,44C13562-CCDB-4820-8117-A3A3962BFB91,UNKNOWN,ONE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,30,No,No,2013,HYUNDAI,4D,39.06341318,-77.11634494,"(39.06341318, -77.11634494)",2.117500066757202,-0.06326627731323242,94.44013214111328,0.0,0.0,0.0,1.8356469869613647,281.3099060058594,2.6675000190734863,0.3970000147819519,07:22:00,16:48:00,0
765,765,765,765,MCP2927002G,180020487,Montgomery County Police,Property Damage Crash,04/26/2018 06:40:00 PM,Interstate (State),CAPITAL BELTWAY,COLESVILLE RD,,,,SINGLE VEHICLE,,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,D0493CD9-353A-4D6E-AAAC-92AE9954AE30,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,4B5D0C1A-07B0-4CAC-82D2-B0EE74BF4FE8,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,55,No,No,1998,NISSAN,VAN,39.01668833,-77.02437167,"(39.01668833, -77.02437167)",13.13700008392334,12.12858772277832,73.16071319580078,3.0,0.0,0.0,4.104631423950195,37.87505340576172,15.53700065612793,0.4410000145435333,05:15:00,18:55:00,0
766,766,766,766,EJ7854000X,16035229,Gaithersburg Police Depar,Injury Crash,07/12/2016 09:48:00 AM,Maryland (State),MIDCOUNTY HWY,GOSHEN RD,,,,HEAD ON LEFT TURN,,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,5BA8F694-E8CD-4037-9B52-3C074F6BA9C1,No,SUSPECTED MINOR INJURY,,NOT DISTRACTED,MD,99810480-3D9B-418A-A037-4E5FC05C882D,DISABLING,TWELVE OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,North,40,No,No,2007,FORD,FOCUS,39.15796,-77.192315,"(39.15796, -77.192315)",27.494998931884766,29.84554672241211,57.629310607910156,51.0,0.20000000298023224,0.0,9.904906272888184,160.9064178466797,25.844999313354492,0.38999998569488525,04:53:00,19:35:00,0
767,767,767,767,EJ7903004N,250035142,GAITHERSBURG,Injury Crash,08/07/2025 12:30:00 PM,County Route,SAM EIG HWY,,,,,Angle,Clear,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,043F4E80-94E9-48F2-8C2E-2A338BEE41C7,No,Possible Injury,,Not Distracted,MD,9B2BE286-1968-4BDC-8F6D-E53151F38791,Disabling,Nine O Clock,Passenger Car,Changing Lanes,Northbound,35,No,No,2017,TOYOTA,COROLLA,39.11534715,-77.20883952,"(39.11534715, -77.20883952)",26.763500213623047,28.138809204101562,49.319557189941406,0.0,0.0,0.0,13.441070556640625,97.69596862792969,26.4635009765625,0.23100000619888306,05:15:00,19:14:00,0
768,768,768,768,MCP25590040,200000554,Montgomery County Police,Property Damage Crash,01/04/2020 06:23:00 AM,,,,PARKING LOT OF 9615 DARNESTOWN RD,,,SINGLE VEHICLE,FOGGY,,DARK NO LIGHTS,,,,F2F56CF5-8552-48AC-A9F2-8B4BBFEFB4DD,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",LOOKED BUT DID NOT SEE,MD,7AB7BAE2-9C3C-46CA-B033-9858E648123D,SUPERFICIAL,ROOF TOP,FIRE VEHICLE/NON EMERGENCY,BACKING,West,15,No,No,2014,DODGE,RAM,39.0943615,-77.19736217,"(39.0943615, -77.19736217)",10.102499961853027,8.648055076599121,99.66625213623047,3.0,0.0,0.0,10.188699722290039,212.00534057617188,8.952500343322754,0.5049999952316284,07:27:00,16:58:00,1
769,769,769,769,MCP3397001D,250038508,MONTGOMERY,Injury Crash,08/28/2025 02:59:00 PM,US (State),COLUMBIA PIKE,INDUSTRIAL PKWY,,,,Front to Rear,Clear,Dry,Daylight,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,820DAE87-A5F5-4B41-A296-FA72E1A4ADCC,No,Possible Injury,,Not Distracted,MD,04805C4C-EC12-404B-8958-65EFBC667694,Superficial,Six O Clock,Passenger Car,Slowing or Stopping,,45,No,No,2024,HYUNDAI,KONA,39.05606477,-76.97129352,"(39.05606477, -76.97129352)",25.811500549316406,23.19971466064453,27.78945541381836,3.0,0.0,0.0,10.74284839630127,238.70701599121094,27.061500549316406,0.1979999989271164,05:33:00,18:44:00,1
