Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Route Type,Road Name,Cross-Street Name,Off-Road Description,Municipality,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,Person ID,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Drivers License State,Vehicle ID,Vehicle Damage Extent,Vehicle First Impact Location,Vehicle Body Type,Vehicle Movement,Vehicle Going Dir,Speed Limit,Driverless Vehicle,Parked Vehicle,Vehicle Year,Vehicle Make,Vehicle Model,Latitude,Longitude,Location,Vehicle Cutted in 5 years intervals
DM8502001Q,250004261,TAKOMA,Property Damage Crash,01/26/2025 01:26:00 AM,Maryland (State) Route,UNIVERSITY BLVD E,MERRIMAC DR,,,,Front to Rear,Clear,Dry,Dark - Lighted,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,FB948845-6D5F-48EE-BE3C-9A6804233675,No,No Apparent Injury,Other Improper Action,Unknown,MD,F1AE3993-AD10-4952-9A13-0A2EA7783EBE,Functional,Twelve O Clock,Passenger Car,,Eastbound,25,No,No,2007,CHRYSLER,300C,38.9926372,-76.99155225,"(38.9926372, -76.99155225)",2005
MCP31290067,230006012,Montgomery County Police,Property Damage Crash,02/06/2023 11:37:00 AM,County,PARKLAND DR,HALLET ST,,,,SAME DIRECTION SIDESWIPE,CLOUDY,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,76C6D760-0416-4FCB-BA9E-D0770113A6C9,Unknown,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,B977A5E6-DD15-47C3-99A3-3926767CA725,SUPERFICIAL,TEN OCLOCK,PASSENGER CAR,MAKING LEFT TURN,South,25,No,No,2003,TOYT,TK,39.07096017,-77.087458,"(39.07096017, -77.087458)",2000
MCP2664004G,180032012,Montgomery County Police,Property Damage Crash,06/29/2018 07:30:00 AM,County,RANDOLPH RD,TIVOLI LAKE BLVD,,,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,UNKNOWN,,E0EBAC4A-A6E5-4402-B6C1-3A834B7F0F2A,Yes,NO APPARENT INJURY,,UNKNOWN,MD,F47C90EE-6C6E-47A5-B149-14657E6CE860,FUNCTIONAL,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,West,40,No,No,2014,NISSAN,SUV,39.06635,-77.03316,"(39.06635, -77.03316)",2010
MCP23800008,170544601,Montgomery County Police,Property Damage Crash,11/24/2017 09:04:00 AM,Maryland (State),EAST WEST HWY,BLAIR MILL WAY,,,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,OTHER,NONE DETECTED,,D0D31AE7-C243-4903-A401-907DFC57C611,No,NO APPARENT INJURY,"N/A, VISION OBSTRUCTION (INCL. BLINDED BY SUN)",NOT DISTRACTED,DC,8CBA021E-7D8A-49CA-B94A-214AD93CEAA5,SUPERFICIAL,SIX OCLOCK,VAN,STOPPED IN TRAFFIC LANE,East,30,No,No,2002,TOYOTA,SIENNA,38.98877,-77.027865,"(38.98877, -77.027865)",2000
MCP1113002R,190021270,Montgomery County Police,Property Damage Crash,05/06/2019 10:54:00 AM,Maryland (State),RIDGE RD,HAWKES RD,,,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,F75FEEE7-1D5C-4404-81CE-697A9751A5C5,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,7D4BADC6-E2A6-4843-81CA-067E3016805A,DISABLING,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,North,40,No,No,2014,NISSAN,PATHFINDER,39.24698167,-77.23411667,"(39.24698167, -77.23411667)",2010
MCP2780002Q,170501254,Montgomery County Police,Property Damage Crash,04/09/2017 02:27:00 PM,,,,18066 MATNEY ROAD (SHOPPER'S FOOD WAREHOUSE),,,SAME DIRECTION SIDESWIPE,CLOUDY,,DAYLIGHT,NO CONTROLS,NONE DETECTED,,3F53DDC5-4970-4F73-A943-16B8C7600CC2,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,1A9027A8-DC0A-4BCF-86B8-C4ECD8FF8CBB,SUPERFICIAL,ELEVEN OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,West,15,No,No,2000,TOYOTA,CAMRY,39.14774333,-77.27351,"(39.14774333, -77.27351)",2000
MCP2950000S,16008249,Montgomery County Police,Property Damage Crash,02/18/2016 10:44:00 PM,Maryland (State),FREDERICK RD,GERMANTOWN RD,,,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,068F39B1-1B6B-400E-923B-9BA8C146AC54,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,9CCFB8C8-F75E-4741-A457-94ED6600BC82,DISABLING,EIGHT OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,45,No,No,2015,TOYOTA,CORROLA,39.19248,-77.24260667,"(39.19248, -77.24260667)",2015
EJ7856007N,190046307,Gaithersburg Police Depar,Property Damage Crash,09/27/2019 08:40:00 AM,Municipality,MAIN ST,MIDTOWN RD,,GAITHERSBURG,,OTHER,CLEAR,DRY,DAYLIGHT,,ALCOHOL PRESENT,,5E69245D-EBDF-48F0-B445-B9F1B973F43E,Yes,NO APPARENT INJURY,,UNKNOWN,MD,A6D10C58-0A62-4B02-8C69-72DB3925ABEB,FUNCTIONAL,ONE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,25,No,No,2004,BMW,530I,39.12200229,-77.23862903,"(39.12200229, -77.23862903)",2000
MCP1334002P,15036252,MONTGOMERY,Property Damage Crash,07/23/2015 08:27:00 AM,Maryland (State),MONTGOMERY VILLAGE AVE,SPUR FR LOST KNIFE RD,,,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,180E76F3-1885-46CE-800C-ED136CA8DB1A,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,D7C38B22-382B-4D34-89BC-025984C3D766,FUNCTIONAL,SIX OCLOCK,(SPORT) UTILITY VEHICLE,STOPPED IN TRAFFIC LANE,North,35,No,No,2012,NISSAN,ROGUE,39.15838441,-77.20376551,"(39.15838441, -77.20376551)",2010
MCP9399001Z,230052666,Montgomery County Police,Injury Crash,09/01/2023 04:08:00 PM,Municipality,SEVEN LOCKS RD,WOOTTON PKWY,,ROCKVILLE,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,YIELD SIGN,NONE DETECTED,,73B06DF7-3D1F-4EFF-B105-E37EB814333A,Yes,NO APPARENT INJURY,,NOT DISTRACTED,VA,D6921E3F-E455-4867-9112-7D712946CB31,SUPERFICIAL,TWELVE OCLOCK,PASSENGER CAR,MAKING RIGHT TURN,North,35,No,No,2018,MERZ,GLE,39.24566833,-77.25255,"(39.24566833, -77.25255)",2015
MCP209400LT,230015354,Montgomery County Police,Injury Crash,03/30/2023 02:54:00 PM,Maryland (State),ROCKVILLE PIKE,EXECUTIVE BLVD,,,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,2E153857-E726-4FDF-B911-253FD77DDEEC,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,949C4939-6D66-4163-A9BE-2B4283900F39,SUPERFICIAL,SIX OCLOCK,(SPORT) UTILITY VEHICLE,STOPPED IN TRAFFIC LANE,North,40,No,No,2016,HONDA,CRV,39.04331,-77.11096667,"(39.04331, -77.11096667)",2015
MCP3051004M,210041834,Montgomery County Police,Injury Crash,10/18/2021 03:50:00 PM,Maryland (State),ROCKVILLE PIKE,SOUTH DR,,,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,137BC36B-05E8-46BA-9000-02C7528E32AA,No,POSSIBLE INJURY,,NOT DISTRACTED,MD,ACE0972A-D5B4-4B5B-940D-3B37DF93C71D,FUNCTIONAL,SIX OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,North,35,No,No,2016,HONDA,ODYSSEY,38.99929833,-77.09679833,"(38.99929833, -77.09679833)",2015
MCP23110071,230027025,Montgomery County Police,Injury Crash,06/05/2023 04:38:00 PM,County,GREENTREE RD,BRADMOOR DR,,,PEDESTRIAN,HEAD ON,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,F0E8017F-D0F9-43CB-ADB1-40A584C2F84B,No,POSSIBLE INJURY,,NOT DISTRACTED,MD,9DEF56DF-0ECE-4D19-B564-94671F9DA36E,DESTROYED,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,25,No,No,2015,VOLK,JETTA,39.00093833,-77.12096167,"(39.00093833, -77.12096167)",2015
MCP11130056,230056046,Montgomery County Police,Property Damage Crash,09/21/2023 08:04:00 AM,County,BRINK RD,WOODFIELD RD,,,,ANGLE MEETS LEFT TURN,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,42BE08C5-5F48-4BC1-A98F-FCFEB339CBC5,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,38038CE4-64F3-4D6E-AB58-D9672193C1F7,NO DAMAGE,NON-COLLISION,"OTHER LIGHT TRUCKS (10,000LBS (4,536KG) OR LESS)",MOVING CONSTANT SPEED,West,35,No,No,2014,GMC,3500,39.20842,-77.16898833,"(39.20842, -77.16898833)",2010
MCP3395001B,240026806,MONTGOMERY,Property Damage Crash,06/05/2024 03:44:00 PM,Maryland (State) Route,OLD GEORGETOWN RD (SB/L),,,,,Angle,Cloudy,Wet,Daylight,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,BE4ADB1B-8596-4530-9C21-2EEB4669D3B5,No,No Apparent Injury,,Not Distracted,MD,09FBE4E6-E54E-4114-BD51-190DECDE076D,Disabling,Eleven O Clock,Passenger Car,Moving Constant Speed,Southbound,35,No,No,2020,NISSAN,SENTRA,39.0250467,-77.12555691,"(39.0250467, -77.12555691)",2020
MCP26640051,190058109,Montgomery County Police,Property Damage Crash,12/02/2019 06:34:00 PM,County,BRIGGS CHANEY RD,GOOD HOPE RD,,,,SAME DIR REAR END,RAINING,WET,DARK NO LIGHTS,TRAFFIC SIGNAL,NONE DETECTED,,45F5858B-077C-44FB-B8FA-B1FD23227D8C,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",UNKNOWN,MD,5555A695-3EF7-4036-911F-C8142081BBC2,SUPERFICIAL,TWELVE OCLOCK,PICKUP TRUCK,SLOWING OR STOPPING,West,35,No,No,1986,CHEV,SILVERADO,39.10210484,-76.98192082,"(39.10210484, -76.98192082)",1985
DD56040025,180055817,Rockville Police Departme,Property Damage Crash,11/07/2018 07:35:00 AM,Maryland (State),ROCKVILLE PIKE,WOOTTON PKWY,,ROCKVILLE,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,EF08483D-A1D3-451C-B177-996458952FF5,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,17C16B49-D512-4E98-AA00-24C94DD9E371,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,North,40,No,No,2012,VOLK,4S,39.076355,-77.138715,"(39.076355, -77.138715)",2010
MCP2866003S,170520009,Montgomery County Police,Injury Crash,07/19/2017 05:45:00 PM,County,JONES BRIDGE RD,PLATT RIDGE DR,,,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,81B2635F-A243-4631-9CAD-CBCB39F54552,Yes,NO APPARENT INJURY,,INATTENTIVE OR LOST IN THOUGHT,MD,3E7C8677-4D0E-4518-8912-678D6579DE16,SUPERFICIAL,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,35,No,No,2015,FORD,EXPLORER,39.00041,-77.081465,"(39.00041, -77.081465)",2015
HA2396000J,18000596,Maryland-National Capital,Property Damage Crash,05/22/2018 04:14:00 PM,Maryland (State),GREAT SENECA HWY,CROSSOVER,,,,SAME DIR REAR END,OTHER,WET,DAYLIGHT,NO CONTROLS,NONE DETECTED,,D1D17CB6-2036-4D92-BB27-577B12B0685D,Yes,NO APPARENT INJURY,"N/A, WET",NOT DISTRACTED,MD,E979C4C2-7495-4575-B870-65A14464BFCC,SUPERFICIAL,TWELVE OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,North,55,No,No,2017,HYUN,TUCSON,39.19301,-77.29496,"(39.19301, -77.29496)",2015
MCP1566000C,15065073,Montgomery County Police,Injury Crash,12/20/2015 04:25:00 AM,County,DUFIEF MILL RD,MUDDY BRANCH RD,,,,SINGLE VEHICLE,CLEAR,UNKNOWN,DARK LIGHTS ON,,ALCOHOL CONTRIBUTED,,90412519-D2CC-4096-9EF7-B8F1849EC4DA,Yes,SUSPECTED MINOR INJURY,,NOT DISTRACTED,MA,B4EDB408-B94E-4D1A-B502-B390A7479F60,DISABLING,TWELVE OCLOCK,VAN,OTHER,North,0,No,No,1995,DODG,RAM,39.09722023,-77.22905874,"(39.09722023, -77.22905874)",1995
EJ7884006R,240035516,GAITHERSBURG,Property Damage Crash,07/28/2024 01:37:00 AM,Maryland (State) Route,QUINCE ORCHARD RD,,,,,Front to Rear,Clear,Dry,Dark - Not Lighted,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,594A2695-56A2-4B94-AB13-47C02572400F,No,No Apparent Injury,,Not Distracted,MD,E961085A-683E-40C1-9D84-586348D1527D,Functional,Six O Clock,Sport Utility Vehicle,Stopped in Traffic,Eastbound,35,No,No,2015,FORD,ESCAPE,39.15171608,-77.21306729,"(39.15171608, -77.21306729)",2015
MCP2351000X,17010640,Montgomery County Police,Property Damage Crash,02/28/2017 07:25:00 AM,County,CRABBS BRANCH WAY,CALHOUN PL,,,,ANGLE MEETS RIGHT TURN,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,,976D171D-51A9-4E01-83FE-FAA2793FB2CC,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,3185E896-D9DE-4C1D-ACB1-119E9CA44FEA,DISABLING,ELEVEN OCLOCK,VAN,MAKING RIGHT TURN,West,35,No,No,2010,FORD,TK,39.1080585,-77.15213983,"(39.1080585, -77.15213983)",2010
MCP33070030,250027892,MONTGOMERY,Property Damage Crash,06/23/2025 07:39:00 AM,County Route,ORIENTAL ST,,,,,Front to Front,Clear,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,A9595A4C-CDF5-4138-98AC-C5E4945BC362,No,No Apparent Injury,Wrong Side,Unknown,MD,CBBCB510-381E-468E-82B8-867E211DFF5A,Functional,Eleven O Clock,Sport Utility Vehicle,Moving Constant Speed,Southbound,25,No,No,2006,CHEVROLET,SUBURBAN,39.0749509,-77.0948481,"(39.0749509, -77.0948481)",2005
MCP21210019,180005645,Montgomery County Police,Property Damage Crash,02/02/2018 07:13:00 AM,County,PARTNERSHIP RD,WHITES FERRY RD,,,,SINGLE VEHICLE,CLOUDY,DRY,DUSK,,NONE DETECTED,,00736841-AD2E-486C-8A1A-0B4A9EABF113,No,NO APPARENT INJURY,"ANIMAL, N/A",NOT DISTRACTED,MD,471BBC78-4A00-45FB-ACFD-5C19FAB1D1BA,DISABLING,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,South,40,No,No,2007,FORD,ESCAPE,39.11255164,-77.38032058,"(39.11255164, -77.38032058)",2005
MCP3305003C,240023875,MONTGOMERY,Property Damage Crash,05/20/2024 11:00:00 PM,Maryland (State) Route,NEW HAMPSHIRE AVE (SB/L),,,,,Front to Rear,Clear,Dry,Dark - Not Lighted,Traffic Control Signal,"Suspect of Alcohol Use, Not Suspect of Drug Use",,4FC5A015-B39F-4C03-A79B-F504C77D53A0,Yes,No Apparent Injury,"Operated Motor Vehicle in Inattentive, Careless, Negligent, or Erratic Manner",Unknown,MD,83A67043-37EA-4250-B6EB-1FEF01BBBBC4,Disabling,Twelve O Clock,Passenger Car,Moving Constant Speed,Southbound,40,No,No,2010,VOLKSWAGEN,JETTA,39.01191829,-76.97894826,"(39.01191829, -76.97894826)",2010
MCP2995001J,170503428,Montgomery County Police,Property Damage Crash,04/21/2017 06:41:00 PM,Maryland (State),NORBECK RD,BALTIMORE RD,,,,SAME DIR REAR END,CLOUDY,WET,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,C6A664D9-22BD-4671-BC28-892FBB658DA9,Yes,NO APPARENT INJURY,"N/A, WET",UNKNOWN,MD,7388F2C7-BB19-4257-BBF4-317FD5A7CD04,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,East,45,No,No,2015,HYUNDAI,ACCENT,39.021055,-76.98523167,"(39.021055, -76.98523167)",2015
MCP26990012,180027240,Montgomery County Police,Injury Crash,06/03/2018 12:13:00 AM,County,TWINBROOK PKWY,VEIRS MILL RD,,,PEDESTRIAN,SINGLE VEHICLE,RAINING,WET,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,60031A87-18E7-47AB-A119-7CF1571B7511,No,NO APPARENT INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,MD,89C1E504-F8A6-495E-9767-83842FBDB9A1,NO DAMAGE,TWELVE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,West,35,No,No,2010,TOYOTA,CAMRY,39.07319,-77.11212,"(39.07319, -77.11212)",2010
MCP3002000W,16029991,Montgomery County Police,Property Damage Crash,06/14/2016 12:00:00 PM,Maryland (State),GOLDSBORO RD,ENT TO CONCORD ST ANDREWS UMC CHURCH,,,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,9926E49D-CE79-4AE9-AA94-B69DA168941A,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,E35808D3-2046-416D-A261-FE05FA17C4ED,DISABLING,SIX OCLOCK,(SPORT) UTILITY VEHICLE,SLOWING OR STOPPING,North,30,No,No,2014,MERCEDES-BENZ,GL450,38.97469667,-77.11487833,"(38.97469667, -77.11487833)",2010
MCP22600026,180059000,Montgomery County Police,Property Damage Crash,11/23/2018 07:00:00 PM,,,,PARKING LOT OF 10711 COLUMBIA PIKE,,,OTHER,CLEAR,,DARK LIGHTS ON,NO CONTROLS,ALCOHOL PRESENT,,A9915B45-82CA-4666-B67E-34C7F5BEA8F5,Yes,NO APPARENT INJURY,,UNKNOWN,FL,26DDCD20-BE23-482B-8BF2-1250EBB2F30D,UNKNOWN,UNKNOWN,TRUCK TRACTOR,LEAVING TRAFFIC LANE,Unknown,35,No,No,2015,INT,TR,39.002425,-76.989195,"(39.002425, -76.989195)",2015
MCP32840017,220011063,Montgomery County Police,Property Damage Crash,03/15/2022 12:07:00 AM,County,ASTON MANOR CT,ASTON MANOR CT,,,,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,UNKNOWN,,32C17D39-79CE-400A-AEAE-59A43CE613E8,Unknown,NO APPARENT INJURY,,NOT DISTRACTED,,92CE5F5B-062B-45C9-A4FF-EE6CC4FDD353,SUPERFICIAL,TWELVE OCLOCK,PASSENGER CAR,UNKNOWN,East,25,No,No,2019,BMW,4S,39.07989417,-76.93648717,"(39.07989417, -76.93648717)",2015
HA24140006,16000114,Maryland-National Capital,Property Damage Crash,01/27/2016 08:51:00 PM,Maryland (State),LAYHILL RD,MIDDLEBRIDGE DR,,,,SAME DIR REND LEFT TURN,CLEAR,WET,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,,D579ED2A-6F5E-49C1-BB11-E9966D1D344E,Yes,NO APPARENT INJURY,"ICY OR SNOW-COVERED, N/A, WET",UNKNOWN,MD,883927F3-3D74-42D9-A592-93403EA592D1,FUNCTIONAL,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,35,No,No,2011,TOYO,CAMRY,39.07287333,-77.04558833,"(39.07287333, -77.04558833)",2010
MCP3004001M,170518310,Montgomery County Police,Injury Crash,07/10/2017 04:07:00 PM,,,,"9600 SEVEN LOCKS ROAD BETHESDA, MD 20817, PARKING LOT",,,OTHER,CLEAR,,DAYLIGHT,,NONE DETECTED,,B2FBA225-0896-446B-B379-25E8746D35B3,Yes,POSSIBLE INJURY,,UNKNOWN,MD,5B61464F-82F7-4A38-9C01-9ADBCD5BFD0D,SUPERFICIAL,FIVE OCLOCK,SCHOOL BUS,SLOWING OR STOPPING,West,5,No,No,2014,THOMAS,BUS,39.01410333,-77.160645,"(39.01410333, -77.160645)",2010
MCP2347003H,220016716,Montgomery County Police,Property Damage Crash,04/20/2022 07:45:00 AM,Maryland (State),OLD COLUMBIA PIKE,ENT TO SCHOOL,,,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,229A68C6-6A94-489F-8EBD-A661C29556A7,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,B857C0C4-9622-48ED-BB58-0765A379C6E6,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,30,No,No,2008,NISSAN,ROGUE,39.08973085,-76.94776443,"(39.08973085, -76.94776443)",2005
MCP24280002,15047626,MONTGOMERY,Injury Crash,09/20/2015 12:59:00 AM,County,SEVEN LOCKS RD,DEMOCRACY BLVD,,,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DARK LIGHTS ON,FLASHING TRAFFIC SIGNAL,NONE DETECTED,,03CB2B33-C3D3-4FEB-A311-6F59B06F9A20,Yes,SUSPECTED MINOR INJURY,,NOT DISTRACTED,MD,89AA65C1-991E-43D3-A952-8470868D0B3F,DISABLING,NINE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,West,40,No,No,2010,TOYOTA,HIGHLANDER,39.02338667,-77.16240167,"(39.02338667, -77.16240167)",2010
MCP12130063,210044745,Montgomery County Police,Injury Crash,11/04/2021 09:34:00 PM,Maryland (State),NEW HAMPSHIRE AVE,EDNOR RD,,,,HEAD ON LEFT TURN,CLEAR,DRY,DARK LIGHTS ON,FLASHING TRAFFIC SIGNAL,NONE DETECTED,,BEF19068-1BE5-479F-AD26-0111BC9F4D2B,No,SUSPECTED MINOR INJURY,,NOT DISTRACTED,MD,A85EF8BA-E15F-4850-B146-C9A72FDD650E,DISABLING,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,North,45,No,No,1999,GMC,YUKON,39.13606167,-76.99475333,"(39.13606167, -76.99475333)",1995
MCP3190006N,250029495,MONTGOMERY,Injury Crash,07/02/2025 06:54:00 PM,County Route,,,,,,Front to Rear,Clear,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,3ECDAE1A-7815-4C1A-9EA3-0751BCD6F2D0,Yes,Suspected Serious Injury,,Unknown,MD,C6C0702C-5361-4D5B-94CD-7BF6A40D5631,Disabling,Twelve O Clock,Motorcycle - 2 Wheeled,Moving Constant Speed,Eastbound,35,No,No,2023,KAWASAKI,NINJA 400,39.09365818,-77.07570882,"(39.09365818, -77.07570882)",2020
MCP9428002P,200006307,Montgomery County Police,Property Damage Crash,02/07/2020 12:05:00 PM,County,KINGS VALLEY RD,PREAKNESS DR,,,,HEAD ON LEFT TURN,SEVERE WINDS,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,C8667D46-674E-4DB8-992F-8255E999C548,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,3C646BFC-5343-4C90-9F32-109B75CC1344,FUNCTIONAL,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,25,No,No,2002,TOYT,CAROLLA,39.25075,-77.22664667,"(39.25075, -77.22664667)",2000
MCP33880014,240017610,MONTGOMERY,Property Damage Crash,04/15/2024 07:22:00 PM,Maryland (State) Route,GEORGIA AVE (SB/L),,,,,Front to Rear,Clear,Dry,Daylight,Lane Use Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,7E2CBE29-41FD-4381-B672-AEC18A471174,Yes,No Apparent Injury,,Not Distracted,MD,E5839AA4-A0D6-4FD4-974F-4F7D7FE76144,Disabling,One O Clock,Passenger Car,Moving Constant Speed,,30,No,,2017,LEXUS,UNKNOWN,39.01085004,-77.04116389,"(39.01085004, -77.04116389)",2015
MCP1453001K,15028577,Montgomery County Police,Injury Crash,06/12/2015 09:53:00 AM,County,SHADY GROVE RD,MUNCASTER MILL RD,,,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,FLASHING TRAFFIC SIGNAL,NONE DETECTED,,91E797D8-3F77-49FA-96C0-E4B855C93CC7,Yes,SUSPECTED SERIOUS INJURY,,LOOKED BUT DID NOT SEE,MD,4AE17DE7-BCAB-41FB-8C62-028D86687684,DESTROYED,NINE OCLOCK,PASSENGER CAR,ACCELERATING,East,35,No,No,2014,CHEVY,SPARK,39.14828667,-77.14683167,"(39.14828667, -77.14683167)",2010
MCP2976000H,15024470,Montgomery County Police,Property Damage Crash,05/21/2015 05:35:00 PM,Maryland (State),NEW HAMPSHIRE AVE,ELTON RD,,,,SAME DIR REAR END,CLOUDY,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,CB88DF40-C5E7-452D-942E-CFF218570463,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,NL,5D0FCA11-E59F-4D75-A5B0-492807AF7D1D,SUPERFICIAL,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,40,No,No,1998,NISSAN,PATHFINDER,39.01936707,-76.97669506,"(39.01936707, -76.97669506)",1995
MCP3010009J,240018113,MONTGOMERY,Property Damage Crash,04/18/2024 12:57:00 PM,Spur,,,,,,Front to Rear,Clear,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,B7DE218E-7161-46B2-B541-DBFB9924251F,No,No Apparent Injury,,Not Distracted,MD,4F03C32B-C17B-490D-BEB9-8275D6C04E86,Superficial,Six O Clock,Passenger Car,Turning Right,,40,No,No,2013,TOYOTA,COROLLA,39.04957484,-77.11475226,"(39.04957484, -77.11475226)",2010
MCP3387002F,250014823,MONTGOMERY,Property Damage Crash,04/05/2025 08:40:00 AM,County Route,WARRENTON DR,,,,,Angle,Cloudy,Dry,Daylight,Stop Sign,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,5B716478-7639-4E92-AB92-059F4F0A696E,Yes,No Apparent Injury,,Not Distracted,MD,9DD169D9-26BB-4CD1-943B-E8BB781D8980,Functional,Seven O Clock,Passenger Car,Turning Left,Eastbound,25,No,No,2024,LINCOLN,CORSAIR,39.05681897,-76.99686088,"(39.05681897, -76.99686088)",2020
MCP28820024,170527027,Montgomery County Police,Injury Crash,08/26/2017 02:54:00 PM,County,SCENERY DR,ENT TO PLUM GAR COMMUNITY CENTER,,,,SAME DIRECTION LEFT TURN,CLOUDY,DRY,DAYLIGHT,,NONE DETECTED,,A6CBC56C-4ACC-4D5E-BFBD-52F18C75385D,No,POSSIBLE INJURY,,NOT DISTRACTED,MD,8010990C-F0F8-4631-8AB2-1222AD8F8C10,FUNCTIONAL,TWELVE OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,East,30,No,No,2005,NISSAN,ALTIMA,39.17683167,-77.234335,"(39.17683167, -77.234335)",2005
