Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Route Type,Road Name,Cross-Street Name,Off-Road Description,Municipality,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,Person ID,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Drivers License State,Vehicle ID,Vehicle Damage Extent,Vehicle First Impact Location,Vehicle Body Type,Vehicle Movement,Vehicle Going Dir,Speed Limit,Driverless Vehicle,Parked Vehicle,Vehicle Year,Vehicle Make,Vehicle Model,Latitude,Longitude,Location
MCP2923009V,230053573,Montgomery County Police,Injury Crash,09/07/2023 08:18:00 AM,County,RANDOLPH RD,GLENALLAN AVE,,,,OTHER,CLEAR,,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,E8139DD3-EC20-42C8-BC9A-95B8E564E07C,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,9CFF26AC-8B5D-4A23-BE31-5E43B9E254A7,FUNCTIONAL,SIX OCLOCK,PICKUP TRUCK,STOPPED IN TRAFFIC LANE,West,30,No,No,2005,DODGE,RAM,39.06088213,-77.0449089,"(39.06088213, -77.0449089)"
MCP25820033,190054432,Montgomery County Police,Property Damage Crash,11/11/2019 09:40:00 PM,Maryland (State),NORWOOD RD,HENNESSY TERR,,,,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,,,FD50F7DE-CF92-4084-B11F-68FEB56FD68A,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,9E455658-98B1-460C-B60E-86EC6C9F9933,FUNCTIONAL,TWELVE OCLOCK,POLICE VEHICLE/NON EMERGENCY,MOVING CONSTANT SPEED,North,30,No,No,2019,DODGE,CHARGER,39.13636601,-77.0320316,"(39.13636601, -77.0320316)"
MCP3198002W,210020937,Montgomery County Police,Property Damage Crash,05/30/2021 12:30:00 PM,,,,"PARKING LOT AT 12015 GEORGIA AVE SILVER SPRING, MD 20902",,,OTHER,UNKNOWN,,DAYLIGHT,,UNKNOWN,,4EBBBEE5-EC05-4C19-AB49-8B5909373210,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,US,082D5AB1-DC90-4CB2-8DF0-9641718BA63B,SUPERFICIAL,SIX OCLOCK,PASSENGER CAR,BACKING,North,15,No,No,2013,FORD,EXPLORER,39.05261564,-77.05023609,"(39.05261564, -77.05023609)"
MCP2349000D,15024795,Montgomery County Police,Injury Crash,05/23/2015 10:47:00 AM,Maryland (State),FREDERICK RD,MIDDLEBROOK RD,,,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,EA2BFC28-06DE-49A2-93B1-58E2C2C5A18F,No,SUSPECTED MINOR INJURY,,NOT DISTRACTED,MD,A176C75F-DAD0-43F1-BC4B-C7451A01777E,FUNCTIONAL,SIX OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,North,40,No,No,2007,TOYT,COROLLA,39.18058667,-77.23831333,"(39.18058667, -77.23831333)"
EJ78590002,15025352,Gaithersburg Police Depar,Property Damage Crash,05/26/2015 05:46:00 PM,Municipality,E DIAMOND AVE,CHESTNUT ST,,GAITHERSBURG,,OTHER,CLEAR,DRY,DAYLIGHT,,NONE DETECTED,,CB570D11-4A95-48BF-A5B8-9DB0979B5111,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,D4357870-C6E7-42D4-AD27-A2BE5AD38537,DISABLING,TEN OCLOCK,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,West,30,No,No,2013,NISSAN,ROGUE,39.14014833,-77.20393333,"(39.14014833, -77.20393333)"
MCP2072001Z,170534144,Montgomery County Police,Injury Crash,10/01/2017 10:35:00 AM,Maryland (State),FREDERICK RD,SHAKESPEARE BLVD,,,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,62889D7C-7432-41FD-B4C5-B5032993ED3E,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,373D67F7-26A4-4ACB-97F9-8270BAD67FD5,SUPERFICIAL,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,45,No,No,2011,CHEV,4S,39.19823833,-77.24513333,"(39.19823833, -77.24513333)"
MCP2898003H,220036447,Montgomery County Police,Injury Crash,08/23/2022 05:43:00 PM,Maryland (State),FREDERICK RD,ENT TO MILESTONE SHOPPING CENTER,,,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,,,A3EE5605-81EB-4622-BB9B-CE5FE47C3A47,No,POSSIBLE INJURY,,NOT DISTRACTED,MD,383118EC-7F59-4E07-A180-41CA1047332E,DISABLING,ELEVEN OCLOCK,POLICE VEHICLE/NON EMERGENCY,MOVING CONSTANT SPEED,South,45,No,No,2016,CHEV,TK,39.2004292,-77.2451467,"(39.2004292, -77.2451467)"
MCP3374002L,250006187,MONTGOMERY,Property Damage Crash,02/11/2025 11:42:00 AM,County Route,BRITE DR,,,,,Rear To Side,Clear,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,6DD3E1C3-4931-43F9-B079-059F464AD7A1,No,No Apparent Injury,,Not Distracted,MD,647670A8-4F4B-4B91-AA5E-B3788B38AA01,Superficial,Three O Clock,Passenger Car,Parked,,5,No,Yes,1991,CHEVROLET,S-10 BLAZER,38.98039117,-77.11183417,"(38.98039117, -77.11183417)"
MCP10220084,170538278,Montgomery County Police,Property Damage Crash,10/23/2017 10:05:00 AM,County,FATHER HURLEY BLVD,EISENHOWER MEMORIAL HWY,,,,SAME DIR REAR END,CLOUDY,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,CEBA127E-A441-4B1B-B7A8-10360D71E6C9,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,9055C6CB-3B09-4FC5-B2E2-3D3AF41D9B8D,FUNCTIONAL,SIX OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,South,45,No,No,2003,HOND,ACCORD,39.19817833,-77.26266667,"(39.19817833, -77.26266667)"
MCP32550058,240010795,MONTGOMERY,Injury Crash,03/05/2024 07:30:00 PM,County Route,N WESTLAND DR,FREDERICK RD,,,,Angle,Clear,Dry,Dark - Lighted,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,9FD631D8-AFEB-48D4-8A8C-B474B2643A58,Yes,Suspected Minor Injury,"Failed to Yield Right-of-Way, Followed Too Closely",Unknown,MD,9F9B7ADD-50BB-42DD-A277-3FC7849D0B0F,Disabling,Three O Clock,Sport Utility Vehicle,Turning Left,Eastbound,35,No,No,2018,VOLKSWAGEN,TIGUAN,39.12793109,-77.18519277,"(39.12793109, -77.18519277)"
MCP3089001F,180025702,Montgomery County Police,Property Damage Crash,05/25/2018 01:30:00 PM,,,,PARKING LOT TO THE REAR OF AVIS,,,SAME DIR REAR END,CLEAR,,DAYLIGHT,,,,F4D7754D-6648-44B4-A91C-F98355127ED3,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,DF86B97E-4EC3-49D1-943F-9E1CEC3F4F4C,NO DAMAGE,SIX OCLOCK,"OTHER LIGHT TRUCKS (10,000LBS (4,536KG) OR LESS)",BACKING,West,5,No,No,2007,STER,TRUCK,38.99158,-77.014435,"(38.99158, -77.014435)"
DM8458000C,170500316,Takoma Park Police Depart,Injury Crash,04/04/2017 09:53:00 AM,Maryland (State),PINEY BRANCH RD,IN CORP LMTS TAKOMA PARK,,,,SAME DIR REAR END,CLEAR,WET,DAYLIGHT,NO CONTROLS,,,DB6A440F-CC48-4B3F-9687-D086FAD17AC2,No,POSSIBLE INJURY,,NOT DISTRACTED,MD,5408E9FA-8086-4990-BD47-34FA511C22B5,SUPERFICIAL,SIX OCLOCK,OTHER,SLOWING OR STOPPING,South,30,No,No,2016,DODGE,GRAND CARAVAN,38.97944501,-77.01758265,"(38.97944501, -77.01758265)"
MCP34260025,250029305,MONTGOMERY,Injury Crash,07/01/2025 03:47:00 PM,County Route,BROOKES LA,,,,,Angle,Rain,Wet,Daylight,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,27556466-B973-4D89-8B7C-E9D07D86ECE6,No,Suspected Minor Injury,,Not Distracted,MD,DE99D75D-E0A9-4D75-80E3-D31CA193932B,Functional,Ten O Clock,Passenger Car,Turning Right,Southbound,25,No,No,2020,HONDA,CIVIC,38.945361,-77.11781733,"(38.945361, -77.11781733)"
MCP271700LN,180059437,Montgomery County Police,Property Damage Crash,11/28/2018 10:15:00 AM,Ramp,RAMP 6 FR RAMP 10 (FR IS270) TO MD 187,OLD GEORGETOWN RD,,,,OTHER,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,A9456153-0B07-4422-A06D-D935ADC394FC,Yes,NO APPARENT INJURY,,UNKNOWN,MD,E5BBE337-1F32-40A4-AB7E-D30A2DD8E9C2,SUPERFICIAL,ELEVEN OCLOCK,SCHOOL BUS,MOVING CONSTANT SPEED,South,35,No,No,2009,THOMAS BUILT,SCHOOL BUS,39.02939433,-77.12673183,"(39.02939433, -77.12673183)"
MCP22980134,230015981,Montgomery County Police,Property Damage Crash,04/03/2023 05:12:00 PM,Maryland (State),RIDGE RD,FREDERICK RD,,,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,3DC71FA7-4BE6-4E93-A611-8263535AFE81,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,91B0EE56-4AAA-486D-BA63-FAC2672AA66C,FUNCTIONAL,SIX OCLOCK,PICKUP TRUCK,ACCELERATING,South,45,No,No,2007,DODGE,RAM,39.20489049,-77.24642387,"(39.20489049, -77.24642387)"
MCP12830014,190043840,Montgomery County Police,Injury Crash,09/13/2019 10:23:00 AM,County,FATHER HURLEY BLVD,EISENHOWER MEMORIAL HWY,,,,STRAIGHT MOVEMENT ANGLE,CLOUDY,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,72E7726F-D6C6-4B68-9247-486139115BE3,No,SUSPECTED SERIOUS INJURY,,NOT DISTRACTED,MD,10DDF14C-6791-4CD4-8127-24FCE0F4DA32,DESTROYED,ELEVEN OCLOCK,PASSENGER CAR,MAKING LEFT TURN,North,45,No,No,2017,CHEV,CRUZ,39.19883167,-77.26051167,"(39.19883167, -77.26051167)"
MCP3195001L,200045434,Montgomery County Police,Property Damage Crash,11/17/2020 06:01:00 PM,,,,"PARKING LOT OF TECH ROAD SHOPPING CENTER, IN FRONT OF 12289 TECH ROAD, SILVER SPRING, MD 20904",,,OTHER,CLEAR,,DARK LIGHTS ON,NO CONTROLS,UNKNOWN,,B06DC884-8AE8-421A-BA18-8F361011EDC2,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,,889EF704-5DAB-413F-873A-31BB4EDF99CE,SUPERFICIAL,SIX OCLOCK,PASSENGER CAR,BACKING,North,5,No,No,2007,FORD,ESCAPE,39.05719207,-76.96718446,"(39.05719207, -76.96718446)"
MCP3260000Q,240028008,MONTGOMERY,Injury Crash,06/12/2024 05:25:00 PM,County Route,FENWICK LA,GEORGIA AVE,,,,Rear To Side,Clear,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,2C0E0B95-E374-48DC-B650-F5474CB0870C,Yes,No Apparent Injury,,Not Distracted,MD,27EF4E95-575E-45DB-9D1B-4F7613AFE193,Disabling,Four O Clock,Passenger Car,Turning Left,,35,No,No,2018,TOYOTA,CAMRY,38.99799109,-77.03103677,"(38.99799109, -77.03103677)"
MCP9406002J,220011639,Montgomery County Police,Property Damage Crash,03/18/2022 06:01:00 AM,Maryland (State),GEORGIA AVE,NORBECK RD,,,,ANGLE MEETS RIGHT TURN,FOGGY,,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,6E13E3A6-5719-4317-8004-DE3F0C149535,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,B58DC27D-C7F1-4EDC-9524-0DCCA82E19A9,FUNCTIONAL,THREE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,North,45,No,No,2014,TOYT,SD,39.10955667,-77.07733833,"(39.10955667, -77.07733833)"
MCP22090031,250021896,MONTGOMERY,Injury Crash,05/18/2025 12:56:00 AM,Maryland (State) Route,CONNECTICUT AVE,,,,,Front to Rear,Clear,Dry,Dark - Lighted,No Controls,"Suspect of Alcohol Use, Not Suspect of Drug Use",,FF7B2379-11E8-4EE4-A2CF-0FCF1AF3CB32,Yes,Suspected Minor Injury,Too Fast For Conditions,Unknown,MD,2AEAEE86-6A83-4962-8AC6-E948AD4EF802,Disabling,Twelve O Clock,Passenger Car,Moving Constant Speed,Northbound,35,No,No,2023,TOYOTA,CAMRY,39.04562282,-77.07607376,"(39.04562282, -77.07607376)"
MCP1512000J,15040629,MONTGOMERY,Injury Crash,08/14/2015 07:00:00 PM,,,,Parking Lot of 50 Bureau Dr. Gaithersburg,,PEDESTRIAN,SINGLE VEHICLE,CLEAR,,DAYLIGHT,NO CONTROLS,NONE DETECTED,NONE DETECTED,90EC29FD-EF84-4FD8-B64F-BF74DFDBEA9C,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,8B9717EF-5172-4C23-98B3-58739A96DE8C,NO DAMAGE,SIX OCLOCK,PICKUP TRUCK,BACKING,North,15,No,No,1991,TOYT,TK,39.14424667,-77.21852833,"(39.14424667, -77.21852833)"
MCP9322000T,180011868,Montgomery County Police,Property Damage Crash,11/22/2017 11:15:00 PM,,,,GRASS DIRT ROAD--NEAR THE INTERSECTION OF BORDLY DR AND LUBAR WAY,,,SINGLE VEHICLE,CLEAR,,DARK NO LIGHTS,,,,6D0F1DD7-456F-4036-B5A2-F5891768C623,Yes,NO APPARENT INJURY,"DEBRIS OR OBSTRUCTION, VISION OBSTRUCTION (INCL. BLINDED BY SUN)",NOT DISTRACTED,ME,0B3ECC5C-38DA-46BB-9D10-49C0F93F8D6A,SUPERFICIAL,TWELVE OCLOCK,POLICE VEHICLE/EMERGENCY,MOVING CONSTANT SPEED,East,5,No,No,2016,FORD,INTERCEPTOR,39.19018975,-77.05501556,"(39.19018975, -77.05501556)"
MCP3005004K,190026663,Montgomery County Police,Property Damage Crash,06/04/2019 02:00:00 PM,Maryland (State),UNIVERSITY BLVD W,GEORGIA AVE,,,,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,EE537899-E3D9-4A3B-BE03-8A0ADAF6F701,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,3755104C-5D25-4E03-B48A-20DBFE98D70D,SUPERFICIAL,ONE OCLOCK,"MEDIUM/HEAVY TRUCKS 3 AXLES (OVER 10,000LBS (4,536KG))",STARTING FROM LANE,East,35,No,No,1998,MACK,TRUCK,39.04092167,-77.0521,"(39.04092167, -77.0521)"
MCP32080038,220024689,Montgomery County Police,Property Damage Crash,06/08/2022 11:41:00 PM,Maryland (State),GEORGIA AVE,RAMP 3 FR IS 495 EB TO MD 97 NB,,,,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,,14E668B5-FC38-4A07-876C-EC3861FB8579,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,53ABCCC4-4993-4D23-BBA8-58A6F42D547E,SUPERFICIAL,FIVE OCLOCK,POLICE VEHICLE/NON EMERGENCY,MOVING CONSTANT SPEED,North,30,No,No,2020,CHEV,TK,39.01493833,-77.04229333,"(39.01493833, -77.04229333)"
EJ7854001G,170518859,Gaithersburg Police Depar,Property Damage Crash,07/13/2017 01:38:00 PM,Municipality,S SUMMIT AVE,OLDE TOWNE AVE,,GAITHERSBURG,,SAME DIRECTION SIDESWIPE,CLEAR,,DAYLIGHT,OTHER,NONE DETECTED,,BBA13F78-DF15-4844-BC94-E516574CDB57,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,EF9C7513-D191-4F4E-8E92-BDD1B03001A5,SUPERFICIAL,ONE OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,North,25,No,No,2001,HOND,TK,39.14055333,-77.19377,"(39.14055333, -77.19377)"
MCP2987007J,220055013,Montgomery County Police,Property Damage Crash,12/12/2022 05:40:00 PM,Maryland (State),NEW HAMPSHIRE AVE,RAMP 6 FR IS 495 EB TO MD 650 SB,,,,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,,B725F009-39B6-45E9-B623-120DEB8A4A08,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,27FC81C0-28F9-4281-B059-E7F68ECFEE0F,FUNCTIONAL,ELEVEN OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,40,No,No,2014,ACURA,4S,39.01723665,-76.97730811,"(39.01723665, -76.97730811)"
MCP3230003S,220050726,Montgomery County Police,Injury Crash,11/16/2022 07:00:00 PM,Maryland (State),GEORGIA AVE,ARA DR,,,,SAME DIR REAR END,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,,513767DB-549A-4426-9BF7-299D3A30FF84,No,SUSPECTED MINOR INJURY,,NOT DISTRACTED,MD,96125902-8D58-429D-95DD-35563682E133,SUPERFICIAL,SIX OCLOCK,PASSENGER CAR,STOPPED IN TRAFFIC LANE,North,35,No,No,2016,TOYOTA,COROLLA,39.06461283,-77.05660517,"(39.06461283, -77.05660517)"
MCP9428001J,170515809,Montgomery County Police,Injury Crash,06/26/2017 11:56:00 AM,County,MIDDLEBROOK RD,LOCBURY DR,,,,STRAIGHT MOVEMENT ANGLE,CLEAR,,DAYLIGHT,STOP SIGN,NONE DETECTED,,5B30361A-2150-40E4-AB75-DB679361C2F3,Yes,SUSPECTED MINOR INJURY,,LOOKED BUT DID NOT SEE,MD,2AF444C1-FFE3-43F6-8F6B-7E7A974C2C92,DISABLING,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,ACCELERATING,South,25,No,No,2015,LINCOLN,MKC,39.18281359,-77.27086902,"(39.18281359, -77.27086902)"
MCP31390007,180015273,Montgomery County Police,Injury Crash,03/29/2018 08:25:00 AM,Maryland (State),NEW HAMPSHIRE AVE,NORTHAMPTON DR,,,,SAME DIR REAR END,FOGGY,WET,DAYLIGHT,TRAFFIC SIGNAL,,,6E6FEE53-51D8-4089-A67D-5AC77F4A1A0A,No,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,NC,8FACC948-057D-4E77-ACCA-BF4D2DC7515E,SUPERFICIAL,TWELVE OCLOCK,PASSENGER CAR,SLOWING OR STOPPING,South,40,No,No,2002,JEEP,GRAND CHEROKEE,39.00651972,-76.98042199,"(39.00651972, -76.98042199)"
MCP3199006L,240043918,MONTGOMERY,Property Damage Crash,09/15/2024 11:50:00 AM,Maryland (State) Route,,,,,,Front to Rear,Clear,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,CB1E6B8D-3C5B-4AA1-80F9-90F9B99DE7FD,No,No Apparent Injury,,Not Distracted,MD,7E6CD551-5706-4D74-BA0A-640EE3087AED,Disabling,Seven O Clock,Sport Utility Vehicle,Slowing or Stopping,Northbound,35,No,No,2017,SUBARU,IMPREZA,39.10994217,-77.03708633,"(39.10994217, -77.03708633)"
DM8497002G,240053992,TAKOMA,Property Damage Crash,11/10/2024 01:35:00 PM,Maryland (State) Route,NEW HAMPSHIRE AVE (SB/L),,,,,Front to Rear,Cloudy,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,032F5472-15C6-4F1F-9883-CA1CDCA8C23B,No,No Apparent Injury,,Not Distracted,NJ,F2D89A10-5AEB-414C-ADAE-BB5B513C1D13,Functional,Six O Clock,Passenger Car,Slowing or Stopping,Southbound,35,No,No,2018,HONDA,CLARITY,38.97931757,-76.99062415,"(38.97931757, -76.99062415)"
MCP13050018,17014786,Montgomery County Police,Injury Crash,03/23/2017 07:48:00 AM,Maryland (State),WOODFIELD RD,ENT TO ROUTE 124 PLAZA,,,,SAME DIR REAR END,CLEAR,DRY,DAWN,NO CONTROLS,NONE DETECTED,,5F9375A0-1F21-402F-A18B-00AD909FDBEE,Yes,SUSPECTED MINOR INJURY,,NOT DISTRACTED,MD,60C27CB1-18D6-4CA0-90E9-856BE66FABA2,DISABLING,SIX OCLOCK,(SPORT) UTILITY VEHICLE,SLOWING OR STOPPING,North,45,No,No,2016,HYUN,SANTA FE SUV,39.16226832,-77.15826586,"(39.16226832, -77.15826586)"
MCP2425006K,16015916,Montgomery County Police,Property Damage Crash,04/01/2016 01:57:00 PM,County,BRUNSWICK AVE,FINCH ST,,,,SINGLE VEHICLE,CLEAR,DRY,DAYLIGHT,,UNKNOWN,,2A934B09-C092-4B10-98BC-E4259F4FC0E6,Yes,NO APPARENT INJURY,,OTHER DISTRACTION,MD,CDF8D0BB-A183-4F16-B304-54ABE1E5468C,FUNCTIONAL,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,South,25,No,No,2011,CHEVY,SILVERADO,39.02738337,-77.05507457,"(39.02738337, -77.05507457)"
MCP2853006Z,190057725,Montgomery County Police,Property Damage Crash,11/30/2019 06:29:00 PM,US (State),COLUMBIA PIKE,OAK LEAF DR,,,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DARK LIGHTS ON,,,,907E2778-DB5C-4644-9090-724887EB7EE6,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,D5D63A4A-A879-4411-A674-D0C0655651D1,FUNCTIONAL,FIVE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,West,45,No,No,2008,SUBARU,OUTBACK,39.04112,-76.99593,"(39.04112, -76.99593)"
MCP2565004N,170522537,Montgomery County Police,Injury Crash,08/02/2017 02:40:00 PM,Maryland (State),OLD GEORGETOWN RD,TUCKERMAN LA,,,,STRAIGHT MOVEMENT ANGLE,,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,EAFBB08B-8A48-4BC0-9D79-0B58C01165AB,Yes,POSSIBLE INJURY,,LOOKED BUT DID NOT SEE,MD,26FF099B-AF46-4FBB-B1A9-6256EACB1F4A,DISABLING,TWELVE OCLOCK,PASSENGER CAR,MAKING LEFT TURN,West,45,No,No,2005,TOYOTA,COROLLA,39.03445833,-77.12518333,"(39.03445833, -77.12518333)"
MCP1291003D,210041230,Montgomery County Police,Property Damage Crash,10/14/2021 06:00:00 PM,Maryland (State),CLOPPER RD,STONERIDGE DR,,,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,530451F9-5742-4014-BD77-CE54C70D9C42,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,179DC81C-C238-4150-8D93-14971F99971E,DISABLING,TWELVE OCLOCK,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,West,35,No,No,2016,CHEV,TK,39.14934333,-77.241665,"(39.14934333, -77.241665)"
MCP26880022,16038303,Montgomery County Police,Injury Crash,07/29/2016 05:26:00 AM,Maryland (State),NEW HAMPSHIRE AVE,MAHAN RD,,,,STRAIGHT MOVEMENT ANGLE,RAINING,WET,DARK LIGHTS ON,FLASHING TRAFFIC SIGNAL,NONE DETECTED,,2368BC17-4A07-40D6-9AE9-1B09E312E3E2,No,SUSPECTED MINOR INJURY,"RAIN, SNOW, WET",LOOKED BUT DID NOT SEE,MD,592BECA9-12CF-4132-ABFE-BC4B1958B08B,DESTROYED,TWELVE OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,40,No,No,2003,SUZU,XL - 7,39.03334833,-76.98592,"(39.03334833, -76.98592)"
DD5615005H,180020598,Rockville Police Departme,Property Damage Crash,04/27/2018 12:00:00 PM,,,,GARAGE OF 50 MARYLAND AVE.,,,SINGLE VEHICLE,CLOUDY,,DAYLIGHT,NO CONTROLS,NONE DETECTED,,707C0EEE-3818-4FC1-9DAF-4D6C6AF63995,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,9CDDE15C-1276-4CB2-B507-87D4A77B589E,FUNCTIONAL,UNKNOWN,POLICE VEHICLE/EMERGENCY,STARTING FROM PARKED,Unknown,20,No,No,2017,FORD,F350,39.08369333,-77.15073167,"(39.08369333, -77.15073167)"
MCP3050000W,170508845,Montgomery County Police,Injury Crash,05/20/2017 09:58:00 AM,Maryland (State),GEORGIA AVE,EMORY CHURCH RD,,,,SAME DIR REAR END,CLOUDY,WET,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,22C34217-001B-48FB-8FC4-E552E1D1EC90,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",UNKNOWN,MD,072DF9DA-442B-4C45-A022-ABE440CDB51D,SUPERFICIAL,TWELVE OCLOCK,PICKUP TRUCK,MOVING CONSTANT SPEED,South,50,No,No,1997,TOYOTA,TACOMA,39.13060016,-77.07102969,"(39.13060016, -77.07102969)"
MCP25360014,16063662,Montgomery County Police,Property Damage Crash,12/12/2016 12:15:00 AM,Maryland (State),CONNECTICUT AVE,DENFELD AVE,,,,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,TRAFFIC SIGNAL,ALCOHOL PRESENT,,B6DB8371-58E3-4B90-A7A9-B2862D386FDD,Yes,NO APPARENT INJURY,,NOT DISTRACTED,MD,60A9B8AD-0C48-4470-B4AD-749DD8E03C42,DISABLING,ELEVEN OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,North,40,No,No,1999,TOYOTA,CORALLA,39.03950333,-77.07592,"(39.03950333, -77.07592)"
MCP3057000D,170528466,Montgomery County Police,Injury Crash,09/03/2017 10:58:00 AM,County,FATHER HURLEY BLVD,PALMETTO CIR,,,,STRAIGHT MOVEMENT ANGLE,CLOUDY,DRY,DAYLIGHT,STOP SIGN,,,CB6C09BC-3BA4-477D-9B57-03866B2BD3DE,No,NO APPARENT INJURY,,NOT DISTRACTED,MD,4BE2A67D-6F02-42AE-8B8A-DBF8E8D99AC5,DISABLING,ELEVEN OCLOCK,PASSENGER CAR,MOVING CONSTANT SPEED,South,35,No,No,2011,TOYT,HY,39.17352167,-77.28371667,"(39.17352167, -77.28371667)"
MCP3244000X,210033234,Montgomery County Police,Injury Crash,08/25/2021 08:14:00 PM,County,CALVERTON BLVD,GRACEFIELD RD,,,,HEAD ON LEFT TURN,CLEAR,DRY,DARK LIGHTS ON,STOP SIGN,NONE DETECTED,,7B6B28B5-49F9-4B90-A0F8-D0D68CF7D329,Yes,NO APPARENT INJURY,,LOOKED BUT DID NOT SEE,MD,1FC17FB3-0E20-4E2D-BA75-C11BF72E4063,FUNCTIONAL,THREE OCLOCK,(SPORT) UTILITY VEHICLE,MAKING LEFT TURN,West,30,No,No,2006,TOYOTA,HIGHLANDER,39.05683401,-76.95110195,"(39.05683401, -76.95110195)"
MCP2466005T,250009532,MONTGOMERY,Property Damage Crash,03/04/2025 04:00:00 PM,Maryland (State) Route,,,,,,Single Vehicle,Clear,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,6540CFA2-5A9B-4D3E-8FF8-640BA3BB8377,No,No Apparent Injury,,Unknown,VA,BE50EFB0-2946-4CD8-B494-31681E8C94E8,Disabling,One O Clock,Sport Utility Vehicle,Negotiating a Curve,Southbound,40,No,No,2024,FORD,BRONCO SPORT,39.03049772,-77.20151173,"(39.03049772, -77.20151173)"
